Name,Preferred Subject,Age,Proficiency,name,age,subject,score
Linda Smith,Health,18.0,4.0,,,,
Sarah Davis,Information Technology,13.0,5.0,,,,
Joseph Jones,Health,18.0,10.0,,,,
Michael Perez,Health,18.0,1.0,,,,
Paul Williams,Math and Logic,13.0,2.0,,,,
Donna Wilson,Information Technology,15.0,0.0,,,,
John Smith,Information Technology,12.0,2.0,,,,
Jennifer Miller,Information Technology,15.0,10.0,,,,
Joseph Taylor,Health,17.0,2.0,,,,
Joshua Smith,Computer Science,12.0,10.0,,,,
Emily Miller,Data Science,16.0,0.0,,,,
Paul Wilson,Arts and Humanities,15.0,1.0,,,,
Joseph Anderson,Language Learning,18.0,7.0,,,,
Donna Rodriguez,Math and Logic,18.0,5.0,,,,
James Harris,Math and Logic,14.0,4.0,,,,
David Thompson,Language Learning,16.0,5.0,,,,
Margaret Hernandez,Computer Science,14.0,4.0,,,,
Sarah Jones,Data Science,13.0,1.0,,,,
Susan Harris,Math and Logic,15.0,6.0,,,,
Nancy Brown,Data Science,16.0,4.0,,,,
Jennifer Gonzalez,Language Learning,14.0,8.0,,,,
Michael Lopez,Data Science,13.0,7.0,,,,
Daniel Martin,Computer Science,12.0,9.0,,,,
Thomas Sanchez,Information Technology,13.0,2.0,,,,
John White,Language Learning,17.0,10.0,,,,
Sandra Moore,Computer Science,17.0,1.0,,,,
Linda Robinson,Personal Development,16.0,0.0,,,,
Matthew Williams,Data Science,16.0,4.0,,,,
Emily Martinez,Health,17.0,6.0,,,,
Michelle Lewis,Math and Logic,17.0,6.0,,,,
Lisa Jackson,Arts and Humanities,13.0,2.0,,,,
Richard Thompson,Math and Logic,12.0,7.0,,,,
Robert Johnson,Physical Science and Engineering,17.0,5.0,,,,
Joseph Harris,Health,18.0,10.0,,,,
Charles Williams,Social Sciences,13.0,0.0,,,,
Joseph Ramirez,Arts and Humanities,14.0,1.0,,,,
Michael Gonzalez,Business,14.0,5.0,,,,
Sarah Anderson,Arts and Humanities,17.0,2.0,,,,
Lisa Garcia,Business,17.0,6.0,,,,
Lisa Lopez,Physical Science and Engineering,16.0,10.0,,,,
Susan Perez,Arts and Humanities,17.0,10.0,,,,
Sarah Thompson,Business,12.0,9.0,,,,
Robert Martin,Health,12.0,7.0,,,,
